GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;44;YES;NO;NO;VOICE CONTROL;0.00017095;0.001279406
AR;Great Britain;FREESTANDING;FULLSIZE;WHITE;NO;NO;11;D;14;NO;5;47;NO;n.a.;NO;NO;0.001229991;0.001278116
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;NO;8;43;NO;NO;NO;NO;0.001543679;0.001272566
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;D;9;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000878698;0.001270117
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;42;NO;NO;NO;VOICE CONTROL;0.001736831;0.001264315
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;0.001262289
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;5;44;YES;NO;NO;VOICE CONTROL;0.001618622;0.001258633
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.001242003;0.001243917
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;F;13;NO;5;52;NO;NO;NO;NO;0.001682646;0.001241192
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;F;13;NO;4;49;NO;YES;NO;NO;0.000795139;0.00123905
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.001069198;0.001238771
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0.000549404;0.001237948
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.002428817;0.00122711
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;5;44;NO;NO;NO;VOICE CONTROL;0.000857363;0.001224148
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;5;52;NO;NO;NO;VOICE CONTROL;0.000510012;0.001219276
EL;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;NO;9;F;9;NO;5;49;NO;YES;NO;NO;0.001271518;0.001213427
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;6;43;NO;NO;NO;NO;0,00;0.001213305
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;YES;6;46;NO;NO;NO;VOICE CONTROL;0.001108035;0.001203378
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;8;E;9;YES;5;46;NO;NO;NO;VOICE CONTROL;0.001142412;0.00120305
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;11;41;YES;NO;NO;NO;0.000324312;0.001196778
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;10;E;14;YES;6;46;YES;YES;NO;NO;0.001464475;0.001194227
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;14;YES;5;46;NO;n.a.;NO;NO;0.00048304;0.001192272
AR;Poland;FREESTANDING;FULLSIZE;SILVER;NO;NO;12;E;13;NO;5;49;NO;n.a.;NO;NO;0.000940703;0.001189637
